pn,alias,direction,industry,rel_day,pub_date,provider,title,content,news_id,category,consensus_relevance,consensus_stance,consensus_status,rel_1,rel_2,rel_3,stance_1,stance_2,stance_3,conf_1,conf_2,conf_3,reason_1,reason_2,reason_3
26,4·1 대책,+,부동산/건설,0,2013-04-01,세계일보,'통큰' 부동산대책 나왔다…시장 반응은?,"박근혜 정부 출범 후 첫 부동산 종합대책이 발표됐다. 
 
1일 국토교통부 등에 따르면, 올해 안에 부부합산 연소득 6000만원 이하 가구가 85㎡·6억원 이하 주택을 처음 사면 사실상 대출 규제를 받지 않는다. 
 
다만 대출 규제의 근간인 담보인정비율(LTV)과 총부채상환비율(DTI)의 큰 틀은 그대로 유지했다. 현재 적용되는 LTV는 50~60%, D",01100701.2013040110010697316,"경제>부동산, 경제>산업_기업, 경제>금융_재테크",2,support,unanimous,2,2,2,support,support,support,high,high,high,4·1 부동산 종합대책 발표 직접 보도,"박근혜 정부 첫 부동산 대책 발표 보도, 호재",4·1 대책 통큰 부동산 호재성 정책 발표
26,4·1 대책,+,부동산/건설,14,2013-04-15,세계일보,"새 정부 물류정책 지원, 미궁 속으로 빠지나", 박근혜 정부 출범이후 국내 물류정책 지원이 국토부와 해양수산부로 이원화되면서 미궁 속으로 빠져들고 있다. 특히 전체 물류기업 중 90%를 차지하고 있는 중소물류기업들 중 절반은 정부의 정책자금 지원을 전혀 받지 못하고 있는 것으로 조사돼 이에 대한 대책마련이 시급하다. 이 같은 결과는 정부의 중소기업 살리기와도 배치되는 사안이어서 향후 정부 대응이 주목된,01100701.20130415100000396,"경제>산업_기업, 경제>금융_재테크, 경제>취업_창업",0,neutral,unanimous,0,0,0,neutral,neutral,neutral,medium,high,medium,물류정책 지원 이원화 비판 기사로 4·1 대책 무관,물류정책 이원화 보도로 4·1 부동산 대책 무관,물류정책 비판으로 4·1 대책 무관
26,4·1 대책,+,부동산/건설,22,2013-04-23,세계일보,'대체휴일제' 안행위 전체회의 통과 불발,"대체휴일제의 국회 상임위 통과가 23일 불발됐다. 
 
국회 안전행정위는 이날 전체회의를 열고 대체휴일제를 비롯해 4·1 부동산대책 후속 조치 등 민생 법안을 처리하기로 했으나 국정원 여직원 대선 개입 의혹 사건의 청문회 개최 여부를 둘러싸고 여여 간 의사일정 합의에 실패하면서 파행을 겪었다. 이날 여야는 25일 전체회의를 다시 열어 대체휴일제 등 민생 법",01100701.2013042310010889037,"정치>국회_정당, 정치>행정_자치, 정치>청와대",1,neutral,needs_review_low,1,1,2,neutral,neutral,contradict,medium,medium,low,"대체휴일제 통과 불발 보도, 4·1 대책 부수","4·1 부동산대책 후속법안 처리 지연, 사실 전달","4·1 대책 후속 법안 처리 불발, 호재 약화"
42,전기차 보조금,+,2차전지/에너지,18,2014-01-17,세계일보,[WT논평] Driving off Russian aggression with U.S. natural gas,"The possibility of U.S. liquefied natural gas (LNG) coming onto the world market could markedly change the balance of power in European energy markets and have significant strategic consequences. 
 
C",01100701.2014011710013251419,"국제>러시아, 경제>자원, 경제>무역",0,neutral,unanimous,0,0,0,neutral,neutral,neutral,high,high,high,"미국 LNG 수출 영문 칼럼, 전기차 보조금 무관",미국 LNG 영문 칼럼으로 전기차 보조금 무관,"영문 LNG 칼럼, 전기차 보조금과 무관"
42,전기차 보조금,+,2차전지/에너지,21,2014-01-20,세계일보,[WT논평] Electric dreaming,"For the past several years, federal and state governments have spent billions to persuade grown-ups that they, too, should get an automobile that plugs into the wall. A U.S. Energy Information Adminis",01100701.2014012010013269665,"경제>자동차, 경제>국제경제, 경제>자원",1,contradict,unanimous,1,1,1,contradict,contradict,contradict,low,medium,medium,美 전기차 보조금 회의론 영문 논평,전기차 보조금 부정 평가 영문 논평으로 호재 반대,전기차 보조금 회의론 영문 논평 호재 반대 의견
29,9·13 대책,-,부동산/건설,5,2018-09-18,세계일보,9·13 효과? 9월 일평균 거래량 역대 최대…추석 연휴로 추이는 다소 꺾일 듯,"  
 
 
서울 아파트의 거래가 크게 늘면서 지난달 신고 건수를 넘어섰다. 
 
추석 연휴라는 변수가 있지만 이런 추세라면 9월 거래량으로는 역대 최대였던 2006년 이후 12년 만에 최대 거래량을 기록할 가능성이 크다.  
 
18일 서울시 부동산거래정보 포털인 서울부동산정보광장에 따르면 이달 서울 아파트 거래량(신고건수 기준)은 17일 현재 7924건",01100701.20180918094225001,"경제>부동산, 경제>유통, 경제>반도체",2,contradict,unanimous,2,2,2,contradict,contradict,contradict,medium,high,high,"9·13 대책에도 거래량 역대 최대, 악재성 약화","9·13 대책에도 거래량 역대 최대 기록, 규제 효과 부정","9·13 효과 약함, 9월 거래량 역대 최대 호황"
3,일본 수출규제,-,반도체,8,2019-07-09,세계일보,"트위터 ""지난 한주 日수출규제 영향 '불매운동' 관련 트윗 폭발""","트위터가 지난 한주 간(7월1~7일) ‘불매운동’ 관련 키워드들이 이슈가 됐다고 9일 밝혔다. 일본 정부의 대(對) 한국 수출규제 여파로 일본 제품에 대한 불매운동 여론이 형성된 결과로 풀이된다. 
 
 연관어 최상위에는 ‘반도체’, ‘수출규제’ 등의 키워드가 올랐다. 
 
 지난 1일 일본정부가 한국에 대해 반도체와 디스플레이 제조에 필요한 핵심 소재 3",01100701.20190709133837001,국제>일본,2,support,unanimous,2,2,2,support,support,support,high,high,high,"일본 수출규제 후 불매운동 트윗 폭발, 악재성 효과","일본 수출규제 여파 불매운동 확산, 악재성 명확","일본 수출규제 직접 언급, 반도체 소재 타격 악재"
45,EU CBAM,-,2차전지/에너지,1,2021-07-15,세계일보,"EU “탄소 배출, 더는 공짜 아니다”","“원칙은 이산화탄소에 가격이 매겨져야 한다는 겁니다.”(우르줄라 폰 데어 라이엔 EU 집행위원장) 
 
 14일(현지시간) 발표된 유럽연합(EU)의 ‘피트 포 55’는 국제 무역에서 ‘탄소 배출은 공짜가 아니다’라는 것을 분명히 알리는 신호탄이다. 그동안 산업활동에서 발생하는 온실가스는 일부 국가에서만 배출권거래제(ETS)나 탄소세의 대상이었을 뿐, 대개는",01100701.20210715070258003,"국제>유럽_EU, 경제>자동차, 경제>무역",2,support,unanimous,2,2,2,support,support,support,high,high,high,EU 핏포55 발표 탄소가격 부과 신호,"EU CBAM 탄소 비용 부과 직접 보도, 한국 부담","EU 탄소배출 공짜 아니다, CBAM 한국 부담 명확"
45,EU CBAM,-,2차전지/에너지,27,2021-08-10,세계일보,"산업부, 장관급 한미 에너지대화 연내 추진","한국과 미국 에너지 장관이 지난 5월 정상회담 후속 조치의 하나로 청정에너지 분야 협력 방안을 논의할 예정이다. 
 
 산업통상자원부는 10일 통상현안 정례 백브리핑에서 장관급으로 격상된 한미 에너지대화를 연내 열기 위해 미국과 실무 협의를 벌이고 있다고 밝혔다. 
 
 한미 에너지대화는 2009년부터 산업부와 미 에너지부 간 국장급으로 운용되던 협력 채널",01100701.20210810164647001,"정치>외교, 경제>무역, 정치>청와대",0,neutral,needs_review_low,0,0,1,neutral,neutral,neutral,medium,medium,low,한미 에너지 대화 일정 동정 기사,산업부 한미 에너지대화 일정 기사로 CBAM 미언급,산업부 통상 일정 기사로 CBAM 약한 매칭
46,미국 IRA,+,2차전지/에너지,26,2022-09-11,세계일보,추석 이후 더 바쁜 4대 그룹 총수들…경영구상·해외행보,"추석 연휴 이후 국내 주요 기업 총수들의 움직임이 더 바빠질 전망이다. 이들은 글로벌 경기 침체, 금리인상 등 대내외 악재 속에서 경영 전략을 재정비하는 한편 ‘2030 부산 세계 박람회’ 유치 지원을 위해 현장을 누빌 것으로 알려졌다. 
 
 11일 재계에 따르면 이재용 삼성전자 부회장은 추석 연휴 기간 멕시코 등을 찾았다. 
 
 사진=안드레스 마누엘 ",01100701.20220911095516001,"경제>산업_기업, 경제>자동차",0,neutral,needs_review_low,0,0,1,neutral,neutral,neutral,medium,medium,low,총수 추석 후 해외행보 동정 기사,"재계 총수 동정 기사, IRA 직접 미언급","총수 해외 경영행보, IRA 시기 간접 맥락"
8,K칩스법 1차,+,반도체,-7,2023-03-15,세계일보,세액공제율 높이고 용지 규제 대폭 완화 [국가첨단산업 육성 전략],"정부는 전국에 15개 국가첨단산업단지 조성을 속도감 있게 추진한다. 신속 투자가 필요한 산업의 경우엔 2026년 말부터 단계적으로 착공이 가능하도록 한다는 방침이다. 투자세액공제율을 대폭 상향하고, 전력·용수 등 필수 인프라 구축에 올해 1000억원을 지원할 계획이다. 특별한 사유 없이 60일까지 인허가 처리가 안 되면 허가로 간주하는 ‘인허가 타임아웃제’",01100701.20230315183208001,"지역>전북, 지역>충북, 지역>강원",2,support,unanimous,2,2,2,support,support,support,high,high,high,국가첨단산업 육성 세액공제 등 호재 다룸,"K칩스법 투자세액공제 상향, 산업단지 조성 호재","K칩스법 세액공제 상향, 첨단산단 조성 명확한 호재"
30,27만호 공급,+,부동산/건설,20,2024-01-30,세계일보,부동산 PF 위기 속 미분양 주택 10개월 만에 다시 늘었다,"부동산 시장이 얼어붙은 가운데 프로젝트파이낸싱(PF) 부실 위기까지 더해지며 미분양 주택 물량이 10개월 만에 증가세로 전환했다. 이른바 ‘악성 미분양’으로 불리는 준공 후 미분양 주택은 3개월 연속 1만가구를 넘었다. 
 
 국토교통부가 30일 발표한 ‘12월 주택통계’에 따르면 지난해 12월 말 기준 전국의 미분양 주택은 6만2489가구로, 전월보다 7",01100701.20240130201414001,"경제>부동산, 경제>유통, 경제>자동차",1,contradict,needs_review_low,1,1,2,contradict,contradict,contradict,low,medium,medium,"미분양 증가·PF 위기, 27만호 공급 호재 약화","PF 위기·미분양 증가, 27만호 공급 호재성 약화","부동산 위기 미분양 급증, 27만호 공급 호재 부정"
10,K칩스법 2차,+,반도체,28,2025-01-07,세계일보,"與, 野 '추경 편성' 요구에 ""현금 뿌리기식 낭비성 추경 안돼""","국민의힘은 7일 더불어민주당이 정부에 추가경정예산 편성을 요구한 데 대해 ""무차별 현금 뿌리기식 낭비성 추경은 절대 안 된다""고 밝혔다. 
 
 김상훈 정책위의장은 이날 국회에서 열린 원내대책회의에서 ""결국 이들의 요구는 또다시 지역화폐 예산 확보다. 잘못된 추경은 자칫 재정 건전성 악화로 이어져 국가신용등급 하락 등 부작용을 낳을 수밖에 없다""며 이같이 ",01100701.20250107100042002,"정치>국회_정당, 정치>행정_자치, 정치>청와대",0,neutral,unanimous,0,0,0,neutral,neutral,neutral,medium,medium,medium,추경 편성 정치 공방 보도로 K칩스법 2차 직접 무관,추경 편성 여야 공방 보도로 K칩스법 2차 정책 무관,추경 정치 공방으로 K칩스법 2차 정책 직접 무관
18,거래세 인하,+,금융/증권,-7,2019-05-27,아시아투데이,"예탁결제원, 증권거래세 인하…오는 30일 매매체결분부터","아시아투데이 최정아 기자 = 한국예탁결제원은 오는 30일 매매체결분부터 매매 ‘증권거래세법 시행령’이 적용된다고 27일 밝혔다. 이번 시행령은 시장별로 0.10%에서 0.25%로 인하하는 것을 골자로 한다. 주식매매에 따른 결제는 매매체결일로부터 제3영업일에 해당하는 날에 이루어지는 만큼 양도일 기준으로는 6월3일부터, 매매체결일 기준으로는 오는 30일부터",01100751.20190527140343001,"경제>부동산, 경제>금융_재테크, 경제>자동차",2,support,unanimous,2,2,2,support,support,support,high,high,high,예탁결제원 거래세 인하 시행령 적용 안내,"증권거래세법 시행령 인하 적용 안내, 호재","거래세 인하 시행령 적용 보도, 호재 명확"
44,ESS 화재,-,2차전지/에너지,29,2019-08-30,아시아투데이,[오늘의 추천종목-한국투자증권]삼성SDI·현대차 등,"[오늘의 추천종목-한국투자증권]삼성SDI·현대차 등 ◇대형주 △오리온 -중국 제과 경기 개선, 화남지역 프로모션 강화로 중국 실적 점진적 개선 예상 -베트남도 재고 문제 종료 및 신제품 판매 호조로 성장폭 확대될 것 -2019F PER 15배로 역사적 저평가, Global peer 대비 25% 이상 저평가 △NAVER - 네이버 포털의 2019F Impli",01100751.20190830081013001,"경제>유통, 경제>증권_증시, 경제>반도체",0,neutral,needs_review_low,0,0,1,neutral,neutral,neutral,medium,medium,low,추천종목 시황 기사로 ESS 화재 정책 무관,"증권사 추천종목 보도, ESS 정책 효과 미언급",삼성SDI 등 2차전지 관련주 추천 기사 약한 매칭
17,100조 패키지,+,금융/증권,7,2020-03-31,아시아투데이,"BNK, 코로나19로 어려움 겪는 中企·소상공인에 긴급 패기지 금융 지원","부산/아시아투데이 조영돌 기자 = BNK는 총 22조원 규모의 ‘중소기업 유동성 지원 프로그램’을 통해 코로나19 등으로 어려움을 겪고 있는 중소기업 및 소상공인을 전방위 지원한다고 31일 밝혔다. BNK부산은행과 BNK경남은행이 오는 4월 1일부터 실시하는 ‘중소기업 유동성 지원 프로그램’은 신규 대출지원, 대출이자 유예 등 중소기업 및 소상공인을 위한 금융지원 방안을 패키지 형태로 구성했다. 우선 부산은행과 경남은행은 총 8300억원 규모의 신규 대출지원 프로그램을 실시한다. 신용등급이 1~3등급인 소상공인을 대상으로 총 5..",01100751.20200331113842001,"경제>금융_재테크, 경제>취업_창업, 경제>무역",1,support,needs_review_low,1,1,2,support,support,support,low,medium,medium,BNK 중기 유동성 22조 패키지 지원,100조 패키지 시기 중소기업 유동성 지원 호재,"BNK 22조 중기 패키지 지원, 100조 패키지 연장선 호재"
7,미국 반도체 수출규제,-,반도체,-15,2022-09-22,아시아투데이,"저축은행업계 ""서민금융지원 활성화 위해 규제 완화 필요해""",아시아투데이 윤수현 기자 = 저축은행의 장기적 발전을 위해서는 규제개선과 정책적 지원이 필요하다는 지적이 나왔다. 정부 중심적인 정책금융에 얽매여 있게 되면 저축은행 업권의 본질인 서민금융지원 활성화가 취약해질 수 있다는 주장이다. 저축은행중앙회는 22일 오전 서울 중구 은행회관에서 '서민금융 지원 활성화를 위한 저축은행의 역할 제고방안 모색'을 주제로 제,01100751.20220922163324001,경제>금융_재테크,0,neutral,unanimous,0,0,0,neutral,neutral,neutral,medium,medium,medium,저축은행 서민금융 토론회로 반도체 무관,"저축은행 규제완화 기사, 반도체 수출규제 무관",저축은행업계 토론회로 반도체 정책과 무관
8,K칩스법 1차,+,반도체,-8,2023-03-14,아시아투데이,"정부 ""반도체 세제지원 확대 더 늦춰선 안돼""…조속한 법 개정 촉구","세종//아시아투데이 이지훈 기자 = 정부가 반도체 등 국가전략기술 산업에 대한 조세특례제한법(조특법) 개정안이 반드시 필요하다고 강조했다. 그러면서 조속한 법 개정을 촉구했다. 기획재정부는 14일 '반도체 등 투자 활성화를 위한 조세특례제한법 개정 필요성'이라는 제목의 보도참고자료를 통해 ""미국 등은 자국 중심의 반도체 공급망 확보를 위해 수출규제, 대규모",01100751.20230314155644001,"경제>반도체, 경제>유통, 경제>무역",2,support,unanimous,2,2,2,support,support,support,high,high,high,K칩스법 조특법 개정 정부 촉구 호재,K칩스법 조특법 개정 필요성 정부 강조 호재,K칩스법 세제지원 확대 정부 촉구 명확한 호재
9,메가 클러스터,+,반도체,-14,2024-01-01,아시아투데이,"이상일 용인시장“2024년 갑진년, 값진 용인의 해”… 모든 부문 업그레이드 시민 삶의 질 개선","아시아투데이 홍화표 기자 = 이상일 용인특례시장이 2024년 새해를 맞아 ""갑진년 용(龍)의 해를 '값진 용인의 해'가 될 수 있도록 하겠다""라는 함축적인 메시지로 새해에도 성과를 내는 데 주력하겠다는 뜻을 밝혔다. 이상일 시장은 1일 신년사를 통해 ""민선8기의 용인은 도시의 미래를 견인할 강력한 성장 동력을 만들어 냈다""라며 ""2024년의 시정 목표는 용",01100751.20240101095237001,"경제>반도체, 경제>부동산",1,neutral,needs_review_low,0,1,1,neutral,neutral,neutral,medium,low,low,"용인시장 신년사, 메가 클러스터 직접 언급 없음","용인시장 신년사, 메가 클러스터 산업 배경 약함","용인시장 신년사, 반도체 클러스터 도시 맥락"
48,첨단전략산업법,+,2차전지/에너지,-29,2024-03-11,아시아투데이,"'총선만 이기면…' 與 반도체 원샷법, 野 김건희특검 재추진","아시아투데이 박지은 기자 = 여야가 '총선 승리'를 전제로 제22대 국회 개원 후 즉각 추진할 법안을 잇따라 발표하며 경쟁을 벌이고 있다. 국민의힘의 1호 추진 법안은 '반도체 원샷법' 추진과 '국가정보원 대공수사권 복구', 더불어민주당은 '김건희 여사 특검' 재추진과 출생소득 종합정책 등을 제시했다. 한동훈 국민의힘 비상대책위원장은 11일 ""국민 소득이 ",01100751.20240311172020001,"정치>국회_정당, 정치>행정_자치, 정치>선거",2,support,needs_review_low,1,2,2,support,support,support,low,medium,medium,"여야 반도체 원샷법 추진 언급, 정치 공방 중심","반도체 원샷법(첨단전략산업법) 추진 언급, 호재성","반도체 원샷법 추진 의지 표명, 첨단전략산업 호재"
10,K칩스법 2차,+,반도체,16,2024-12-26,아시아투데이,[취재후일담] '반쪽 지원' 위기에 속타는 반도체 기업,아시아투데이 연찬모 기자 = 한국은 자타공인 '반도체 강국'입니다. 1992년 삼성전자가 일본 도시바를 누르고 메모리반도체 1위에 오른 이후 줄곧 이 시장을 주도해왔습니다. 과학기술정보통신부에 따르면 올해 11월까지 누적 반도체 수출액은 1275억 달러로 역대 최대치를 기록했습니다. 그런데 영원한 1등은 없습니다. 반도체 산업의 중심축이 변화하면서 시장 판,01100751.20241226160900001,경제>반도체,2,contradict,unanimous,2,2,2,contradict,contradict,contradict,medium,high,high,"K칩스법 반쪽 지원 우려, 호재정책 약화","K칩스법 반쪽 지원 위기, 호재 정책 약화로 contradict","K칩스법 2차 반쪽 지원 위기, 호재 정책 약화로 부정"
40,CDMO 특별법,+,바이오/제약,28,2025-12-29,아시아투데이,"전북, 3875억 들여 새만금 메가특구 1호 사업 '헴프클러스터' 조성 속도","아시아투데이 박윤근 기자 = 전 세계 헴프(산업용 대마) 시장이 빠르게 성장하는 가운데, 전북특별자치도가 새만금을 글로벌 헴프산업의 핵심 거점으로 육성하기 위한 행보에 속도를 내고 있다. 29일 도에 따르면 '새만금 글로벌 메가샌드박스' 1호 사업인 헴프산업클러스터 조성에 2026년부터 2034년까지 총 3875억원(국비 2603억원, 지방비 333억원, ",01100751.20251229101644001,"지역>전북, 경제>무역, 지역>전남",0,neutral,needs_review_low,0,0,1,neutral,neutral,support,medium,medium,low,전북 헴프산업클러스터 보도로 CDMO 특별법 직접 무관,헴프 클러스터 산업 육성으로 CDMO 특별법 직접 무관,바이오 헴프 산업 육성으로 CDMO 흐름 부분 관련
44,ESS 화재,-,2차전지/에너지,6,2019-08-07,조선일보,태풍소멸했지만 강원동부 최고 100㎜ 폭우…'찜통더위' 계속,"수요일인 7일 제8호 태풍 ‘프란시스코’가 소멸했지만, 남은 열대저압부의 영향으로 오전까지는 전국에 비가 올 예정이다. 
 
기상청은 ""프란시스코의 영향으로 전국이 흐리고 비가 오다가 서울, 경기와 충청, 남부지방은 오전 9시에, 강원도는 오후 6시에 비가 그치겠다""며 ""대기불안정으로 남부내륙에는 오후에 소나기가 오는 곳이 있겠다""고 관측했다. 
 
소형태",01100801.20190807075700001,"사회>날씨, 지역>경북",0,neutral,unanimous,0,0,0,neutral,neutral,neutral,high,high,high,"기상 태풍 기사, 정책 무관",태풍·날씨 기사로 ESS 화재 정책 무관,기상 보도 기사로 ESS와 무관
17,100조 패키지,+,금융/증권,-13,2020-03-11,조선일보,"트럼프 ""급여세 면제"" 제안에 공화당 내부에서도 '회의론'","도널드 트럼프 미국 대통령이 10일(현지시각) 미 의회에 우한 코로나 바이러스 감염증(코로나19) 경제대책으로 급여세(근로소득세) 면제를 제안했지만 민주당은 물론 공화당 일부 의원들도 회의적인 반응을 보였다. 
 
이날 월스트리트저널(WSJ)과 AP통신에 따르면 트럼프 대통령은 이날 스티븐 므누신 재무장관, 래리 커들로 백악관 국가경제위원회(NEC) 위원장",01100801.20200311104601001,"국제>미국_북미, 정치>청와대, 정치>국회_정당",1,neutral,unanimous,1,1,1,neutral,neutral,neutral,low,low,low,"트럼프 급여세 면제 회의론, 100조 패키지 약함","미국 코로나 경제대책 회의론, 100조 패키지 직접 약함","미국 코로나 부양책 회의론 기사, 한국 100조 직접 약함"
16,공매도 금지 4차,+,금융/증권,2,2023-11-07,조선일보,‘공매도’ 400년 흑역사 [만물상],400년 전 네덜란드 증권거래소에 향신료 무역을 독점하는 동인도회사가 상장됐다. 이 회사 창립자 중 한 명이 공금 횡령으로 쫓겨났다. 그는 복수할 요량으로 기상천외한 아이디어를 떠올렸다. 주식을 빌려서 팔고 ‘희망봉 부근에서 배가 침몰했다’는 가짜 뉴스를 퍼트려 주가를 떨어뜨린 뒤 싼 값에 주식을 되사들여 차익을 얻겠다는 것이었다. 최초의 공매도였다. 놀란,01100801.20231107201431001,"국제>유럽_EU, 경제>증권_증시, 경제>자동차",2,neutral,unanimous,2,2,2,neutral,neutral,neutral,medium,medium,low,"공매도 역사 만물상 칼럼, 양면 시각","공매도 역사 칼럼, 정책 효과 직접 평가 없음","공매도 흑역사 만물상, 금지 정책 양면 함의"
9,메가 클러스터,+,반도체,9,2024-01-24,조선일보,작년 전국 땅값 0.82% 상승...15년 만에 최소폭,"고금리와 부동산 경기 침체로 지난해 지가(地價) 상승률이 15년 만에 최저치를 기록하고, 토지 거래도 2006년 관련 통계가 집계되기 시작한 후 가장 낮았던 것으로 나타났다. 
 
24일 국토교통부에 따르면, 지난해 전국 지가는 전년보다 0.82% 상승했다. 이는 2022년 상승률(2.3%)보다 1.91%포인트 줄어든 것으로, 글로벌 금융위기 여파로 땅값이",01100801.20240124110106001,"경제>부동산, 경제>취업_창업, 경제>유통",0,neutral,needs_review_low,0,0,1,neutral,neutral,neutral,medium,medium,low,전국 땅값 상승률 통계 보도로 메가클러스터 직접 무관,전국 지가 상승률 15년 최저 보도로 메가클러스터 무관,메가클러스터 시기 지가 상승률 통계 부분 관련
10,K칩스법 2차,+,반도체,-13,2024-11-27,조선일보,내년까지 반도체 산업에 정책금융 14조 쏟는다…송전선 지중화도 지원,"정부가 1조 8000억 원이 들어가는 용인·평택 반도체 클러스터의 ‘송전선로 지중화’ 공사와 관련해 정부의 비용 분담을 적극 검토한다. 또 소·부·장(소재·부품·장비) 기업, 팹리스(반도체 설계 전문 기업) 등 반도체 관련 기업들에 총 14조 원 이상의 정책금융을 공급한다. 
 
정부는 27일 경기 성남시 한국반도체산업협회에서 산업경쟁력강화 관계장관회의를 ",01100801.20241127084327001,"경제>반도체, 경제>금융_재테크, 경제>취업_창업",2,support,unanimous,2,2,2,support,support,support,high,high,high,반도체 정책금융 14조 송전선 지중화 지원,K칩스법 맥락 반도체 14조 정책금융 호재,"반도체 정책금융 14조 송전선 지중화, 호재 명확"
1,반도체 빅딜,+,반도체,-8,1999-04-21,중앙일보,현대-LG '반도체 빅딜' 밤샘협상…이르면 21일 계약,"현대와 LG는 20일 오후 5시부터 21일 새벽까지 반도체 빅딜 (대기업간 사업교환) 실무협상을 계속, LG반도체의 양수도가격에 거의 합의해 이르면 21일께 주식양수도 계약을 체결할 것으로 알려졌다.

 

이날 양측은 총수회동 없이 실무협의를 진행, 양수도가격 및 대금 정산방법에 대한 절충을 벌여 LG반도체 매각대금에는 어느 정도 합의한 것으로 전해졌다.",01100901.19990421072515001,"경제>반도체, 경제>자동차",2,support,majority_auto,2,2,2,neutral,support,support,medium,medium,medium,현대-LG 빅딜 협상 진전 사실보도,"반도체 빅딜 가격합의 임박, 호재 진전","반도체 빅딜 양수도 계약 임박, 호재 정책 진전"
34,시밀러 가이드,+,바이오/제약,6,2009-07-21,중앙일보,셀트리온 “신약 글로벌 판매망 준비 완료”,"인천 송도의 생산현장에서 셀트리온 직원들이 동물세포 배양기를 점검 중이다. [셀트리온 제공] 바이오업체 셀트리온의 기세가 무섭다. 인천 송도에 최첨단 동물세포 배양시설을 짓고, 코스닥 대장주에 오른 데 이어 최근 정부의 신성장 동력 스마트 프로젝트 참여사로 선정됐다. 셀트리온은 현재 개발하고 있는 유방암 표적치료제인 ‘허셉틴’ 바이오시밀러의 상업화를 위해 ",01100901.20090721182250001,"IT_과학>과학, 경제>경제일반",2,support,unanimous,2,2,2,support,support,support,medium,high,high,셀트리온 바이오시밀러 글로벌 판매망 준비,"셀트리온 시밀러 가이드라인 시기 글로벌 진출, 호재","셀트리온 허셉틴 바이오시밀러 상업화, 호재 명확"
29,9·13 대책,-,부동산/건설,28,2018-10-11,중앙일보,대출 ‘막차 타기’에 9월 은행권 주담대 3조6000억원 늘어…14개월만에 최대,"강력한 대출 규제안을 담은 ‘9ㆍ13 부동산 대책’에도 지난달 은행권의 주택담보대출이 3조6000억원 늘어났다. 
 
 대출 규제 시행 전 수요가 몰린 ‘막차 타기’ 영향으로 분석된다. 
 
 금융위원회가 11일 발표한 ‘9월중 가계대출 동향(잠정)’에 따르면 지난달 가계대출은 4조4000억원 늘어났다. 
 
 전달(6조6000억원)과 지난해 같은 달(6조",01100901.20181011175728001,경제>경제일반,2,support,unanimous,2,2,2,support,support,support,high,high,high,"9·13대책 직접 언급, 대출규제 효과 다룸",9·13 대책 강력 규제 시행 다룸,"9·13대책 후 대출규제 효과 보도, 규제정책 강화 명확"
4,소부장 대책,+,반도체,0,2019-08-05,중앙일보,"[단독]여권 ""日핵심산업 타격 줄 품목, 자동차 등 3~4개 압축""","한국 정부가 일본을 수출 절차 우대국(화이트리스트)에서 배제하는 절차에 돌입하는 것과 동시에 일부 품목에 대한 일본으로의 수출을 제한하는 조치를 취하는 방안을 검토하고 있다. 일종의 '투트랙 반격법'이다. 
 
 여권 고위 관계자는 4일 국회에서 열린 고위 당·정·청 협의 참석에 앞서 “화이트리스트 배제는 시행령 개정이 필요한 문제여서 효과가 발생할 때까지",01100901.20190805010142001,"경제>무역, 정치>외교, 국제>국제일반",2,support,unanimous,2,2,2,support,support,support,medium,high,high,일본 수출규제 대응 투트랙 반격 검토 보도,소부장 대책 일본 수출규제 대응 직접 다룸,소부장 대책 일본 화이트리스트 배제 대응 호재
44,ESS 화재,-,2차전지/에너지,10,2019-08-11,중앙일보,[단독] “태양광 집중 육성했지만 오히려 설비효율은 줄었다”,"2030년까지 전체 발전량의 21.6%를 신재생에너지로 구성하겠다는 정부의 목표가 사실상 달성이 어려울 것이라고 국회 예산정책처(예정처)가 전망했다. 
 
 
 중앙일보는 11일 이 같은 내용이 담긴 예정처의 ‘2018 회계연도 결산 분석 보고서’를 입수했다. 예정처는 매년 7~8월 국회의 결산 심사 기간을 앞두고 지난 회계연도에 대한 결산 분석 보고서를 ",01100901.20190811154324001,경제>경제일반,1,neutral,needs_review_low,0,1,1,neutral,neutral,neutral,medium,low,low,태양광 설비효율 감소 보도로 ESS 화재와 직접 무관,"태양광 신재생에너지 설비효율 감소 보도, ESS 일부 관련",신재생에너지 효율 부진 보도로 ESS 흐름 부분 관련
5,K반도체 벨트,+,반도체,-28,2021-04-15,중앙일보,"“한국 쫓는 중국, 견제하는 미국…K반도체 위기 아닌 기회”","‘21세기 석유’로 불리는 반도체 산업을 놓고 미국과 중국의 패권 전쟁이 벌어지고 있다. 미·중의 틈바구니에 낀 국내 반도체 업계는 좀처럼 돌파구를 찾지 못하고 있다. 국내 반도체 전문가 다섯 명에게 미·중의 경쟁 속에 국내 기업과 정부가 어떻게 대응해야 할지 물었다. 
 
 전문가들은 한국이 미·중 사이에 ‘샌드위치’처럼 끼어있는 처지라는 데에 대체로 동",01100901.20210415000832002,"경제>반도체, 경제>유통",2,support,unanimous,2,2,2,support,support,support,medium,high,high,"K반도체 위기 아닌 기회, 정부 대응 분석",K반도체 미중 패권전 대응 전문가 분석,"K반도체 벨트 직접 언급, 위기 속 기회 호재 톤"
